protocolo;nomeEmpresa;modalidade;tpNavegacao;situacao;ultimaAlteracaoPor;fase;regular;dtInicio;dtSolicitacao;dtConfirmacao;dtFechamento;J
201502102;ZEMAX LOG SOLUÇÕES MARÍTIMAS S.A.;ESPAÇO;LONGO CURSO;AFRETAMENTO CANCELADO;AUGUSTO BERTON VEDAN;CIRCULARIZAÇÃO;NÃO;19/5/2015 a 23/5/2015;;;;52070
201502103;ZEMAX LOG SOLUÇÕES MARÍTIMAS S.A.;ESPAÇO;LONGO CURSO;AFRETAMENTO FECHADO E LIBERADO;PETER KING;FECHAMENTO;NÃO;18/5/2015 a 22/5/2015;12/5/2015;19/5/2015;22/5/2015;52071
201502104;ZEMAX LOG SOLUÇÕES MARÍTIMAS S.A.;ESPAÇO;LONGO CURSO;AFRETAMENTO FECHADO E LIBERADO;PETER KING;FECHAMENTO;NÃO;18/5/2015 a 22/5/2015;12/5/2015;18/5/2015;22/5/2015;52072
201502105;SULNORTE SERVIÇOS MARÍTIMOS LTDA.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO CANCELADO E LIBERADO;LUIS ROBERTO DA SILVA CARVALHO;REGISTRO;NÃO;13/4/2015;11/5/2015;13/4/2015;13/4/2015;52073
201502106;SULNORTE SERVIÇOS MARÍTIMOS LTDA.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;AGUARDANDO ANÁLISE DE REGISTRO;ANDRE DA FONSECA ALVES;REGISTRO;NÃO;13/4/2015 a 13/4/2015;11/5/2015;13/4/2015;13/4/2015;52074
201502107;SULNORTE SERVIÇOS MARÍTIMOS LTDA.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;AGUARDANDO ANÁLISE DE REGISTRO;ANDRE DA FONSECA ALVES;REGISTRO;NÃO;13/4/2015 a 13/4/2015;11/5/2015;13/4/2015;13/4/2015;52075
201502108;SULNORTE SERVIÇOS MARÍTIMOS LTDA.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;AGUARDANDO ANÁLISE DE REGISTRO;ANDRE DA FONSECA ALVES;REGISTRO;NÃO;13/4/2015 a 13/4/2015;11/5/2015;13/4/2015;13/4/2015;52076
201502109;SULNORTE SERVIÇOS MARÍTIMOS LTDA.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;AGUARDANDO ANÁLISE DE REGISTRO;ANDRE DA FONSECA ALVES;REGISTRO;NÃO;17/4/2015 a 17/4/2015;11/5/2015;17/4/2015;17/4/2015;52077
201502110;SULNORTE SERVIÇOS MARÍTIMOS LTDA.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;AGUARDANDO ANÁLISE DE REGISTRO;ANDRE DA FONSECA ALVES;REGISTRO;NÃO;17/4/2015 a 17/4/2015;11/5/2015;17/4/2015;17/4/2015;52078
201502111;SULNORTE SERVIÇOS MARÍTIMOS LTDA.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;AGUARDANDO ANÁLISE DE REGISTRO;ANDRE DA FONSECA ALVES;REGISTRO;NÃO;18/4/2015 a 18/4/2015;11/5/2015;18/4/2015;18/4/2015;52079
201502112;SULNORTE SERVIÇOS MARÍTIMOS LTDA.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;AGUARDANDO ANÁLISE DE REGISTRO;ANDRE DA FONSECA ALVES;REGISTRO;NÃO;18/4/2015 a 18/4/2015;11/5/2015;18/4/2015;18/4/2015;52080
201502113;ALIANÇA NAVEGAÇÃO E LOGÍSTICA LTDA.;ESPAÇO;LONGO CURSO;REGISTRO ENCERRADO;NÃO INFORMADO;REGISTRO;NÃO;27/4/2015;11/5/2015;27/4/2015;22/5/2015;52081
201502114;SOBRARE SERVEMAR LTDA;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;5/5/2015;11/5/2015;5/5/2015;5/5/2015;52082
201502115;SULNORTE SERVIÇOS MARÍTIMOS LTDA.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;JEDIEL SOUSA SILVA;REGISTRO;NÃO;24/4/2015 a 24/4/2015;11/5/2015;24/4/2015;24/4/2015;52083
201502116;ALIANÇA NAVEGAÇÃO E LOGÍSTICA LTDA.;ESPAÇO;CABOTAGEM;AFRETAMENTO FECHADO E LIBERADO;ILSE COTING;FECHAMENTO;NÃO;18/5/2015 a 22/5/2015;12/5/2015;18/5/2015;19/5/2015;52084
201502117;SULNORTE SERVIÇOS MARÍTIMOS LTDA.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;JEDIEL SOUSA SILVA;REGISTRO;NÃO;10/5/2015 a 10/5/2015;11/5/2015;10/5/2015;10/5/2015;52085
201502118;ALIANÇA NAVEGAÇÃO E LOGÍSTICA LTDA.;ESPAÇO;CABOTAGEM;AFRETAMENTO FECHADO E LIBERADO;ILSE COTING;FECHAMENTO;NÃO;18/5/2015 a 22/5/2015;12/5/2015;18/5/2015;21/5/2015;52086
201502119;SULNORTE SERVIÇOS MARÍTIMOS LTDA.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;JEDIEL SOUSA SILVA;REGISTRO;NÃO;10/5/2015 a 10/5/2015;11/5/2015;10/5/2015;10/5/2015;52087
201502120;ALIANÇA NAVEGAÇÃO E LOGÍSTICA LTDA.;ESPAÇO;CABOTAGEM;AFRETAMENTO FECHADO E LIBERADO;ILSE COTING;FECHAMENTO;NÃO;18/5/2015 a 22/5/2015;12/5/2015;18/5/2015;21/5/2015;52088
201502121;SAVEIROS, CAMUYRANO - SERVIÇOS MARÍTIMOS S/A;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;5/5/2015;11/5/2015;5/5/2015;5/5/2015;52089
201502122;PETRÓLEO BRASILEIRO S.A - PETROBRAS;TEMPO;CABOTAGEM;DISPONÍVEL PARA FECHAMENTO;RÔMULO CASTELO BRANCO GOMES DE ARAUJO;CONFIRMAÇÃO;NÃO;15/5/2015 a 19/5/2015;13/5/2015;19/5/2015;;52090
201502123;SULNORTE SERVIÇOS MARÍTIMOS LTDA.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;JEDIEL SOUSA SILVA;REGISTRO;NÃO;25/4/2015 a 25/4/2015;11/5/2015;25/4/2015;25/4/2015;52091
201502124;PETRÓLEO BRASILEIRO S.A - PETROBRAS;TEMPO;LONGO CURSO;DISPONÍVEL PARA FECHAMENTO;RÔMULO CASTELO BRANCO GOMES DE ARAUJO;CONFIRMAÇÃO;NÃO;15/5/2015 a 19/5/2015;13/5/2015;19/5/2015;;52092
201502125;EMPRESA DE NAVEGAÇÃO ELCANO S.A.;VIAGEM;LONGO CURSO;REGISTRO ENCERRADO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;7/5/2015;11/5/2015;7/5/2015;28/5/2015;52093
201502126;OCEANPACT SERVIÇOS MARÍTIMOS S.A.;TEMPO;APOIO MARÍTIMO;REGISTRO ENCERRADO;NÃO INFORMADO;REGISTRO;NÃO;18/4/2015 a 18/4/2015;11/5/2015;18/4/2015;28/4/2015;52094
201502127;SULNORTE SERVIÇOS MARÍTIMOS LTDA.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;JEDIEL SOUSA SILVA;REGISTRO;NÃO;25/4/2015 a 25/4/2015;11/5/2015;25/4/2015;25/4/2015;52095
201502128;SAVEIROS, CAMUYRANO - SERVIÇOS MARÍTIMOS S/A;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;5/5/2015;11/5/2015;5/5/2015;5/5/2015;52096
201502129;OCEANPACT SERVIÇOS MARÍTIMOS S.A.;TEMPO;APOIO MARÍTIMO;REGISTRO ENCERRADO;NÃO INFORMADO;REGISTRO;NÃO;2/5/2015 a 2/5/2015;11/5/2015;2/5/2015;6/5/2015;52097
201502130;SAVEIROS, CAMUYRANO - SERVIÇOS MARÍTIMOS S/A;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;5/5/2015;11/5/2015;5/5/2015;5/5/2015;52098
201502131;SULNORTE SERVIÇOS MARÍTIMOS LTDA.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;JEDIEL SOUSA SILVA;REGISTRO;NÃO;27/4/2015 a 27/4/2015;11/5/2015;27/4/2015;27/4/2015;52099
201502132;LOG-IN LOGÍSTICA INTERMODAL S/A;VIAGEM;LONGO CURSO;AFRETAMENTO FECHADO E LIBERADO;MARIANA PEREIRA DE ARAUJO;FECHAMENTO;NÃO;15/5/2015 a 19/5/2015;12/5/2015;15/5/2015;27/5/2015;52100
201502133;SULNORTE SERVIÇOS MARÍTIMOS LTDA.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;JEDIEL SOUSA SILVA;REGISTRO;NÃO;28/4/2015 a 28/4/2015;11/5/2015;28/4/2015;28/4/2015;52101
201502134;PETRÓLEO BRASILEIRO S.A - PETROBRAS;VIAGEM;LONGO CURSO;DISPONÍVEL PARA FECHAMENTO;RÔMULO CASTELO BRANCO GOMES DE ARAUJO;CONFIRMAÇÃO;NÃO;18/5/2015 a 22/5/2015;12/5/2015;21/5/2015;;52102
201502135;ALIANÇA NAVEGAÇÃO E LOGÍSTICA LTDA.;ESPAÇO;CABOTAGEM;AFRETAMENTO FECHADO E LIBERADO;ILSE COTING;FECHAMENTO;NÃO;15/5/2015 a 19/5/2015;12/5/2015;17/5/2015;18/5/2015;52103
201502136;PETRÓLEO BRASILEIRO S.A - PETROBRAS;TEMPO;APOIO MARÍTIMO;AGUARDANDO ANÁLISE DO CANCELAMENTO DO REGISTRO;GÉSSICA KNUPP CIDRO;REGISTRO;NÃO;10/7/2015 a 10/8/2015;;;;52104
201502137;PETRÓLEO BRASILEIRO S.A - PETROBRAS;TEMPO;APOIO MARÍTIMO;AGUARDANDO ANÁLISE DO CANCELAMENTO DO REGISTRO;GÉSSICA KNUPP CIDRO;REGISTRO;NÃO;10/7/2015 a 10/8/2015;;;;52105
201502138;ALIANÇA NAVEGAÇÃO E LOGÍSTICA LTDA.;ESPAÇO;CABOTAGEM;AFRETAMENTO CANCELADO;JEDIEL SOUSA SILVA;CIRCULARIZAÇÃO;NÃO;16/5/2015 a 20/5/2015;12/5/2015;;;52106
201502139;ALIANÇA NAVEGAÇÃO E LOGÍSTICA LTDA.;ESPAÇO;CABOTAGEM;AFRETAMENTO FECHADO E LIBERADO;ILSE COTING;FECHAMENTO;NÃO;17/5/2015 a 21/5/2015;12/5/2015;19/5/2015;23/5/2015;52107
201502140;SULNORTE SERVIÇOS MARÍTIMOS LTDA.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO CANCELADO E LIBERADO;LUIS ROBERTO DA SILVA CARVALHO;REGISTRO;NÃO;8/4/2015;11/5/2015;8/4/2015;8/4/2015;52108
201502141;ALIANÇA NAVEGAÇÃO E LOGÍSTICA LTDA.;ESPAÇO;CABOTAGEM;AFRETAMENTO CANCELADO;JEDIEL SOUSA SILVA;CIRCULARIZAÇÃO;NÃO;17/5/2015 a 21/5/2015;12/5/2015;;;52109
201502142;PETRÓLEO BRASILEIRO S.A - PETROBRAS;TEMPO;APOIO MARÍTIMO;AGUARDANDO ANÁLISE DO CANCELAMENTO DO REGISTRO;GÉSSICA KNUPP CIDRO;REGISTRO;NÃO;10/7/2015 a 10/8/2015;;;;52110
201502143;ALIANÇA NAVEGAÇÃO E LOGÍSTICA LTDA.;ESPAÇO;CABOTAGEM;AFRETAMENTO FECHADO E LIBERADO;ILSE COTING;FECHAMENTO;NÃO;18/5/2015 a 22/5/2015;12/5/2015;18/5/2015;21/5/2015;52111
201502144;ALIANÇA NAVEGAÇÃO E LOGÍSTICA LTDA.;ESPAÇO;LONGO CURSO;REGISTRO ENCERRADO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;27/4/2015;11/5/2015;27/4/2015;30/5/2015;52112
201502145;PETRÓLEO BRASILEIRO S.A - PETROBRAS;VIAGEM;LONGO CURSO;DISPONÍVEL PARA FECHAMENTO;AUGUSTO BERTON VEDAN;CONFIRMAÇÃO;NÃO;26/5/2015 a 30/5/2015;12/5/2015;27/5/2015;;52113
201502146;ALIANÇA NAVEGAÇÃO E LOGÍSTICA LTDA.;ESPAÇO;LONGO CURSO;REGISTRO ENCERRADO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;27/5/2015;11/5/2015;27/5/2015;10/7/2015;52114
201502147;SOBRARE SERVEMAR LTDA;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;6/5/2015;12/5/2015;6/5/2015;6/5/2015;52115
201502148;SAVEIROS, CAMUYRANO - SERVIÇOS MARÍTIMOS S/A;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;6/5/2015;12/5/2015;6/5/2015;6/5/2015;52116
201502149;SAVEIROS, CAMUYRANO - SERVIÇOS MARÍTIMOS S/A;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;6/5/2015;12/5/2015;6/5/2015;6/5/2015;52117
201502150;SAVEIROS, CAMUYRANO - SERVIÇOS MARÍTIMOS S/A;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;6/5/2015;12/5/2015;6/5/2015;6/5/2015;52118
201502151;SAVEIROS, CAMUYRANO - SERVIÇOS MARÍTIMOS S/A;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;6/5/2015;12/5/2015;6/5/2015;6/5/2015;52119
201502152;SULNORTE SERVIÇOS MARÍTIMOS LTDA.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;JEDIEL SOUSA SILVA;REGISTRO;NÃO;7/4/2015 a 7/4/2015;12/5/2015;7/4/2015;7/4/2015;52120
201502153;SULNORTE SERVIÇOS MARÍTIMOS LTDA.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;JEDIEL SOUSA SILVA;REGISTRO;NÃO;7/4/2015 a 7/4/2015;12/5/2015;7/4/2015;7/4/2015;52121
201502154;SULNORTE SERVIÇOS MARÍTIMOS LTDA.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;JEDIEL SOUSA SILVA;REGISTRO;NÃO;7/4/2015 a 7/4/2015;12/5/2015;7/4/2015;7/4/2015;52122
201502155;SULNORTE SERVIÇOS MARÍTIMOS LTDA.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;JEDIEL SOUSA SILVA;REGISTRO;NÃO;7/4/2015 a 7/4/2015;12/5/2015;7/4/2015;7/4/2015;52123
